time [ms],pressure [mBar]
0,984.970474243164
1000,984.9668884277344
2000,984.96337890625
3000,984.9556732177734
4000,984.9549865722656
5000,984.9525451660156
6000,984.9525451660156
7000,984.9525451660156
8000,984.9542236328124
9000,984.9543762207032
10000,984.9542236328124
11000,984.9542999267578
12000,984.954071044922
13000,984.9532318115234
14000,984.9532318115234
15000,984.9541473388672
16000,984.9541473388672
17000,984.9539184570312
18000,984.953842163086
19000,984.9539184570312
20000,984.9539184570312
21000,984.9539184570312
22000,984.9539184570312
23000,984.953842163086
24000,984.953842163086
25000,984.953842163086
26000,984.9539184570312
27000,984.9539184570312
28000,984.9539184570312
29000,984.9539947509766
30000,984.9539947509766
31000,984.9539947509766
32000,984.9539947509766
33000,984.958953857422
34000,984.9694061279296
35000,984.9810791015624
36000,984.9940490722656
37000,985.0013732910156
38000,985.0013732910156
39000,985.0013732910156
40000,984.9900817871094
41000,984.9772644042968
42000,984.96337890625
43000,984.9533081054688
44000,984.9502563476562
45000,984.9502563476562
46000,984.9501037597656
47000,984.9491119384766
48000,984.9403381347656
49000,984.9254608154296
50000,984.9040985107422
51000,984.8782348632812
52000,984.8485565185548
53000,984.8485565185548
54000,984.8183441162108
55000,984.7964477539062
56000,984.7855377197266
57000,984.7784423828124
58000,984.770736694336
59000,984.7577667236328
60000,984.7321319580078
61000,984.6971893310548
62000,984.6567535400392
63000,984.6149444580078
64000,984.5817565917968
65000,984.5584106445312
66000,984.542236328125
67000,984.5323181152344
68000,984.5323181152344
69000,984.52880859375
70000,984.52880859375
71000,984.5278167724608
72000,984.5277404785156
73000,984.5277404785156
74000,984.5286560058594
75000,984.5309448242188
76000,984.5315551757812
77000,984.533233642578
78000,984.533233642578
79000,984.5329284667968
80000,984.5329284667968
81000,984.533920288086
82000,984.533920288086
83000,984.533920288086
84000,984.5336151123048
85000,984.5314025878906
86000,984.5298004150392
87000,984.528350830078
88000,984.5267486572266
89000,984.5264434814452
90000,984.5264434814452
91000,984.5252990722656
92000,984.5240020751952
93000,984.5233917236328
94000,984.5233917236328
95000,984.5238494873048
96000,984.5240783691406
97000,984.5244598388672
98000,984.5240783691406
99000,984.5240783691406
100000,984.5222473144532
101000,984.520263671875
102000,984.5198059082032
103000,984.5189666748048
104000,984.5189666748048
105000,984.5187377929688
106000,984.5189666748048
107000,984.5191192626952
108000,984.5191192626952
109000,984.5180511474608
110000,984.5180511474608
111000,984.5182037353516
112000,984.5262145996094
113000,984.5466613769532
114000,984.5466613769532
115000,984.5807647705078
116000,984.6231079101562
117000,984.6709442138672
118000,984.712142944336
119000,984.740982055664
120000,984.7502899169922
121000,984.7502899169922
122000,984.7418975830078
123000,984.7418975830078
124000,984.7437286376952
125000,984.7625732421876
126000,984.7918701171876
127000,984.8274230957032
128000,984.8622131347656
129000,984.8622131347656
130000,984.892120361328
131000,984.917449951172
132000,984.9330139160156
133000,984.9481964111328
134000,984.9636840820312
135000,984.976043701172
136000,984.9784088134766
137000,984.9784088134766
138000,984.970932006836
139000,984.9571228027344
140000,984.9445343017578
141000,984.9381256103516
142000,984.9378967285156
143000,984.9375915527344
144000,984.9375915527344
145000,984.9375915527344
146000,984.9368286132812
147000,984.9352264404296
148000,984.9342346191406
149000,984.932861328125
150000,984.9327850341796
151000,984.9327850341796
152000,984.9321746826172
153000,984.9325561523438
154000,984.9325561523438
155000,984.932861328125
156000,984.932861328125
157000,984.932861328125
158000,984.9372100830078
159000,984.938735961914
160000,984.938735961914
161000,984.938735961914
162000,984.9386596679688
163000,984.937744140625
164000,984.9340057373048
165000,984.9340057373048
166000,984.9355316162108
167000,984.9464416503906
168000,984.9546051025392
169000,984.9559020996094
170000,984.9559020996094
171000,984.952392578125
172000,984.9500274658204
173000,984.9500274658204
174000,984.9533081054688
175000,984.9533081054688
176000,984.9564361572266
177000,984.9564361572266
178000,984.9517059326172
179000,984.9423980712892
180000,984.9339294433594
181000,984.9339294433594
182000,984.9339294433594
183000,984.9339294433594
