time,acc_x,acc_y,acc_z
0,-0.6338648529937491,-0.3640682716812006,-9.592368366894126
10,-0.6941688438415528,-0.3103483901977539,-9.781810157775878
20,-0.5933130989074706,-0.2497451606750488,-9.93294413757324
30,-0.2916436531951651,-0.19033901371611278,-10.057292401775717
40,-0.1548748833587393,-0.11626838158871972,-10.148272064861656
50,-0.2612672561645508,-0.1204582527603023,-10.05534769744873
60,-0.3743932846069335,-0.17298106994628898,-9.937732540893554
70,-0.44861353607177723,-0.2162263374328613,-9.799766670227049
80,-0.5386953735351561,-0.250194073486328,-9.662848262786865
90,-0.5883750579833983,-0.3078045509338378,-9.639205521392821
100,-0.41030630950927727,-0.3992331268310546,-9.65910732269287
110,-0.2480991470336914,-0.3410240989685057,-9.733477211761475
120,-0.2440588951995596,-0.21772269520414989,-9.84450772922933
130,-0.3504513045379892,-0.117465518951416,-9.980678533172606
140,-0.3794809266021475,-0.08200138859404259,-10.092307601055502
150,-0.2162263374328613,-0.1107318267822265,-10.154108515930174
160,-0.11043255157470702,-0.1503857917785644,-10.10053825378418
170,-0.2341828498840332,-0.1830068076645024,-9.910049584197997
180,-0.4436754586150869,-0.2225110985244623,-9.782258486065269
190,-0.5596446380615234,-0.2656067466735839,-9.77358008956909
200,-0.3794809631347656,-0.37020343170166,-9.681403325653077
210,-0.18121117468569428,-0.3681085052490234,-9.655067107391357
220,-0.3022679595947265,-0.25573066482543927,-9.706991355895996
230,-0.4605845078399404,-0.20171147160185499,-9.754126616558432
240,-0.3350385948181151,-0.2305915473937988,-9.84450831375122
250,-0.14604630126953128,-0.2147299431289546,-9.887752996715902
260,-0.1837549774169922,-0.11836334457397459,-9.829095640563963
270,-0.19437924728393552,-0.1470937644958496,-9.845555776977537
280,-0.09382281408999121,-0.2506429862976075,-9.877129311370847
290,-0.11432309273984292,-0.26051904987944285,-9.824905203136801
300,-0.3075052757263184,-0.2097919204711914,-9.747393508911133
310,-0.5246294387817382,-0.2421136246169918,-9.705046067047121
320,-0.41763855209350575,-0.35329440074311563,-9.764601833343507
330,-0.35583822174072255,-0.36855741806030273,-9.865158303070068
340,-0.4463689720153808,-0.3678092300415039,-9.83074165420532
350,-0.4522048385620116,-0.35957916183471667,-9.835230782318115
360,-0.2742857276916504,-0.369604881286621,-9.89583401184082
370,-0.11566986770629889,-0.3708019821166991,-9.91468834991455
380,-0.1429038750579581,-0.3853168114150874,-10.00970764378011
390,-0.118064069366455,-0.4013280532836913,-10.025569814300535
400,-0.09217676391601562,-0.38726211853027337,-9.965864410400387
410,-0.18824410552978518,-0.3366846084594726,-9.905410818481444
420,-0.44352585754394525,-0.3390788101196288,-9.794828629302978
430,-0.2570774032592773,-0.47719431838989246,-9.708637369537353
440,-0.04908109750058498,-0.5021837616851552,-9.715669752392172
450,-0.05461772537231446,-0.45160628814697246,-9.663746088409424
460,-0.19662384787295012,-0.4436754951477051,-9.689932669067385
470,-0.37244799575805665,-0.4224269554138183,-9.806949275207518
480,-0.31723171997070304,-0.3836707977737299,-9.8955347366333
490,-0.1657984832321294,-0.3292027100051753,-10.011054966735841
500,-0.1149216979538091,-0.2572270408630371,-10.100238978576659
510,-0.3514987312316894,-0.1720832443237304,-10.052504582977294
520,-0.6153098266601561,-0.1565209335327149,-9.887155030822752
530,-0.4092588462829589,-0.2475005966186523,-9.780463419342041
540,-0.2808697822570801,-0.2347814002990723,-9.717465988159178
550,-0.3841197288513183,-0.2457049453735351,-9.669133042144775
560,-0.40686466288911166,-0.29658173065185545,-9.677363110351564
570,-0.20425532913208008,-0.2790741310119629,-9.7315319229126
580,0.01646013641357419,-0.2091933700561523,-9.759214879608155
590,0.2103905074188485,-0.1699882813384756,-9.810539993175864
600,0.24630351405488332,-0.1328781921386718,-9.885658654785155
610,0.06808512797700242,-0.07197565087582919,-9.85183997181356
620,0.05776015158388759,-0.07975680627133708,-9.731531338390708
630,-0.05252279891967779,-0.1337760177612305,-9.59640916671753
640,-0.15816694717407231,-0.2270002083709464,-9.405770859527587
650,-0.2064998931884766,-0.2870049240112305,-9.386018695831298
660,-0.1997662010192871,-0.3465606903076171,-9.36447088088989
670,-0.2147299613952637,-0.34551322708129867,-9.445125549316403
680,-0.2817675896133295,-0.25333646316528324,-9.60703343658447
690,-0.2281973457336425,-0.20365677871704102,-9.75517466430664
700,-0.11267713389741259,-0.1762730972290039,-9.873388371276855
710,-0.055066619917284704,-0.16534951562192288,-9.924863122448324
720,-0.1649006210769526,-0.1506850304534659,-9.907654798015951
730,-0.3727472892318851,-0.1862988166809082,-9.861267725372315
740,-0.3438672317062504,-0.3187280960083007,-9.782558345794678
750,-0.2876034926925785,-0.41165304794311514,-9.661800799560543
760,-0.2491466102600097,-0.48512511138916004,-9.575759177398682
770,-0.360028074645996,-0.5116109672546386,-9.5753102645874
780,-0.4281131843566893,-0.5026327110290526,-9.630676177978515
790,-0.2621650817871093,-0.4459200226714834,-9.81248528202474
800,-0.1253963119506836,-0.3283049026489257,-10.046818354034423
810,-0.2017115081344731,-0.19677344894409177,-10.228478404998778
820,-0.3844190040588378,-0.12285247268676763,-10.313622201538086
830,-0.2651578155959955,-0.194678504225146,-10.281748807415367
840,-0.06329670639038087,-0.3034650604248046,-10.123432807159423
850,-0.02588730545043949,-0.3649661155700683,-9.870844532012939
860,-0.1150713172912598,-0.4052186309814453,-9.67167688140869
870,-0.10684123081816363,-0.4562450355972162,-9.567827799877524
880,-0.11462240447998043,-0.42661680831909166,-9.536853400421144
890,-0.2023100402832031,-0.3377320716857909,-9.576058452606201
900,-0.3604769874572753,-0.263062907409668,-9.715071786499024
910,-0.4733037224258295,-0.3018190285171381,-9.82026643742025
920,-0.2798223190307616,-0.3669114044189453,-9.912294148254395
930,-0.09457094730986282,-0.3205237472534178,-9.99788685760498
940,-0.1629553504943847,-0.23298574905395508,-9.989806427001952
950,-0.3568856849670409,-0.1949777976989746,-10.039336473846435
960,-0.4309562988281249,-0.23253683624267577,-10.087519782257077
970,-0.43245265659941345,-0.24256253742827102,-9.997138085064291
980,-0.5960065757751464,-0.1777694732666015,-9.915286900329589
990,-0.6835445739746093,-0.2575263160705567,-9.843161575317382
1000,-0.6361094535827635,-0.3872621185302733,-9.833285493469237
1010,-0.6663362495422362,-0.4055178879226558,-9.881318579754232
1020,-0.6102221663986331,-0.41644143299711855,-9.87009634399414
1030,-0.38307226562499985,-0.4670189613342285,-9.874884747314454
1040,-0.2507926239013672,-0.46881461257934554,-9.887304668426514
1050,-0.357484217115771,-0.3811269402435048,-9.878774740490318
1060,-0.5587468124389647,-0.3500023186614737,-9.87653017643392
1070,-0.5871779571533202,-0.4025251175811514,-9.804105576214194
1080,-0.4674678741455077,-0.4306570236206054,-9.74844097213745
1090,-0.4441243714263662,-0.4007294663360342,-9.734075177654622
1100,-0.48288054733276364,-0.3884592558929695,-9.776423204040524
1110,-0.4144961624145508,-0.4147954376220702,-9.867402867126462
1120,-0.2479494728973135,-0.3808277015686034,-9.916334363555908
1130,-0.0849941589355469,-0.3148374817779288,-9.900772052764891
1140,-0.060004642575047895,-0.27069442520141607,-9.874136559295653
1150,-0.09965864410400399,-0.3088520141601563,-9.847052153015138
1160,-0.22385785522460944,-0.34641105270385736,-9.786299285888672
1170,-0.4361935784270986,-0.3318962051391602,-9.678410573577882
1180,-0.3711012938568368,-0.3905541458129881,-9.589525836944581
1190,-0.2795230438232422,-0.4005798287322743,-9.592817864227296
1200,-0.3212719352722168,-0.3151367935180664,-9.653570731353758
1210,-0.3229179854461923,-0.2618658065795898,-9.754276838684081
1220,-0.2539349770477042,-0.23298571252133699,-9.843759541210531
1230,-0.1948281600952149,-0.2389712532043457,-9.848398891448975
1240,-0.14440028762817392,-0.30451252365112313,-9.821314485168456
1250,-0.1797147621154785,-0.3526958320617675,-9.7813612449646
1260,-0.18405425262451167,-0.4065653694152831,-9.682450788879397
1270,-0.22894549721982327,-0.3907037468841299,-9.594762568554284
1280,-0.3247135636260733,-0.3181295455932617,-9.581445406341551
1290,-0.26934765023496,-0.3299509162902832,-9.670629418182372
1300,-0.20664953079223639,-0.3137900550842286,-9.818321733093262
1310,-0.2105401084899902,-0.250942261505127,-9.938181453704834
1320,-0.21308394775390618,-0.1979705497741699,-10.068515806579587
1330,-0.3187280960083008,-0.15741875915527348,-10.148272649383545
1340,-0.3699041930267587,-0.19048866958618157,-10.193163930511474
1350,-0.4152443504333495,-0.2642600082397461,-10.13824692993164
1360,-0.42302550582885734,-0.3356371452331543,-10.00462054977417
1370,-0.4528033889770506,-0.39190088424682606,-9.828946002960205
1380,-0.5039794129302724,-0.4622305214812978,-9.663446228680014
1390,-0.5964554520538075,-0.537947112451121,-9.650727032360434
1400,-0.6257844589233398,-0.5533598587036133,-9.62035118331909
1410,-0.5095160042693837,-0.5488706940582021,-9.619752048382162
1420,-0.417488914489746,-0.5497685562133788,-9.622446109771728
1430,-0.3820248023986816,-0.562338114929199,-9.618106619262694
1440,-0.3217208480834961,-0.5928641860961913,-9.663746088409422
